,pivot,size,it,disorder,exec_time
0,primeiro,100,0,0.05,0.001001119613647461
1,primeiro,100,1,0.05,0.002000570297241211
2,primeiro,100,2,0.05,0.0009989738464355469
3,primeiro,100,3,0.05,0.0010051727294921875
4,primeiro,100,4,0.05,0.0009975433349609375
5,primeiro,100,5,0.05,0.00099945068359375
6,primeiro,100,6,0.05,0.0009999275207519531
7,primeiro,100,7,0.05,0.0009996891021728516
8,primeiro,100,8,0.05,0.0010006427764892578
9,primeiro,100,9,0.05,0.0009999275207519531
10,primeiro,1000,0,0.05,0.012988090515136719
11,primeiro,1000,1,0.05,0.012007713317871094
12,primeiro,1000,2,0.05,0.024998188018798828
13,primeiro,1000,3,0.05,0.027001619338989258
14,primeiro,1000,4,0.05,0.009000539779663086
15,primeiro,1000,5,0.05,0.013997316360473633
16,primeiro,1000,6,0.05,0.009997844696044922
17,primeiro,1000,7,0.05,0.00600123405456543
18,primeiro,1000,8,0.05,0.008000850677490234
19,primeiro,1000,9,0.05,0.0060007572174072266
20,primeiro,10000,0,0.05,0.12802338600158691
21,primeiro,10000,1,0.05,0.15500736236572266
22,primeiro,10000,2,0.05,0.1210172176361084
23,primeiro,10000,3,0.05,0.09800553321838379
24,primeiro,10000,4,0.05,0.12199640274047852
25,primeiro,10000,5,0.05,0.11999678611755371
26,primeiro,10000,6,0.05,0.14800405502319336
27,primeiro,10000,7,0.05,0.18242597579956055
28,primeiro,10000,8,0.05,0.15600037574768066
29,primeiro,10000,9,0.05,0.1550006866455078
30,primeiro,100000,0,0.05,1.6640112400054932
31,primeiro,100000,1,0.05,1.7269999980926514
32,primeiro,100000,2,0.05,1.8609964847564697
33,primeiro,100000,3,0.05,1.915001392364502
34,primeiro,100000,4,0.05,1.918015480041504
35,primeiro,100000,5,0.05,1.3869929313659668
36,primeiro,100000,6,0.05,1.990006923675537
37,primeiro,100000,7,0.05,1.9190092086791992
38,primeiro,100000,8,0.05,2.012003183364868
39,primeiro,100000,9,0.05,2.397995948791504
40,primeiro,1000000,0,0.05,23.1670184135437
41,primeiro,1000000,1,0.05,19.644997119903564
42,primeiro,1000000,2,0.05,19.105016469955444
43,primeiro,1000000,3,0.05,24.198994636535645
44,primeiro,1000000,4,0.05,17.55798316001892
45,primeiro,1000000,5,0.05,17.232998847961426
46,primeiro,1000000,6,0.05,19.22899866104126
47,primeiro,1000000,7,0.05,26.175503253936768
48,primeiro,1000000,8,0.05,20.110188245773315
49,primeiro,1000000,9,0.05,20.900020360946655
50,ultimo,100,0,0.05,0.0
51,ultimo,100,1,0.05,0.0
52,ultimo,100,2,0.05,0.0010001659393310547
53,ultimo,100,3,0.05,0.0010004043579101562
54,ultimo,100,4,0.05,0.0
55,ultimo,100,5,0.05,0.00099945068359375
56,ultimo,100,6,0.05,0.0010004043579101562
57,ultimo,100,7,0.05,0.0
58,ultimo,100,8,0.05,0.0
59,ultimo,100,9,0.05,0.0010182857513427734
60,ultimo,1000,0,0.05,0.009979724884033203
61,ultimo,1000,1,0.05,0.01200103759765625
62,ultimo,1000,2,0.05,0.018999814987182617
63,ultimo,1000,3,0.05,0.016999483108520508
64,ultimo,1000,4,0.05,0.014998912811279297
65,ultimo,1000,5,0.05,0.01200556755065918
66,ultimo,1000,6,0.05,0.01101541519165039
67,ultimo,1000,7,0.05,0.008983612060546875
68,ultimo,1000,8,0.05,0.00701594352722168
