,pivot,size,it,disorder,exec_time
0,primeiro,100,0,0.05,0.0019991397857666016
1,primeiro,100,1,0.05,0.0010004043579101562
2,primeiro,100,2,0.05,0.0009992122650146484
3,primeiro,100,3,0.05,0.0
4,primeiro,100,4,0.05,0.0009996891021728516
5,primeiro,100,5,0.05,0.0010013580322265625
6,primeiro,100,6,0.05,0.0
7,primeiro,100,7,0.05,0.0009942054748535156
8,primeiro,100,8,0.05,0.00099945068359375
9,primeiro,100,9,0.05,0.001001119613647461
10,primeiro,1000,0,0.05,0.005999326705932617
11,primeiro,1000,1,0.05,0.009999990463256836
12,primeiro,1000,2,0.05,0.0070002079010009766
13,primeiro,1000,3,0.05,0.012999534606933594
14,primeiro,1000,4,0.05,0.016003847122192383
15,primeiro,1000,5,0.05,0.012998342514038086
16,primeiro,1000,6,0.05,0.026002168655395508
17,primeiro,1000,7,0.05,0.011999130249023438
18,primeiro,1000,8,0.05,0.012999296188354492
19,primeiro,1000,9,0.05,0.012000799179077148
20,primeiro,10000,0,0.05,0.18400096893310547
21,primeiro,10000,1,0.05,0.13699722290039062
22,primeiro,10000,2,0.05,0.2310030460357666
23,primeiro,10000,3,0.05,0.16999530792236328
24,primeiro,10000,4,0.05,0.130997896194458
25,primeiro,10000,5,0.05,0.15199875831604004
26,primeiro,10000,6,0.05,0.17300033569335938
27,primeiro,10000,7,0.05,0.11899900436401367
28,primeiro,10000,8,0.05,0.24500298500061035
29,primeiro,10000,9,0.05,0.12400197982788086
30,primeiro,100000,0,0.05,2.057039499282837
31,primeiro,100000,1,0.05,2.502997636795044
32,primeiro,100000,2,0.05,2.207000494003296
33,primeiro,100000,3,0.05,2.0650124549865723
34,primeiro,100000,4,0.05,1.5240116119384766
35,primeiro,100000,5,0.05,1.4529976844787598
36,primeiro,100000,6,0.05,1.5230152606964111
37,primeiro,100000,7,0.05,1.2789850234985352
38,primeiro,100000,8,0.05,2.1553122997283936
39,primeiro,100000,9,0.05,1.922001600265503
40,primeiro,1000000,0,0.05,21.799995183944702
41,primeiro,1000000,1,0.05,19.304015398025513
42,primeiro,1000000,2,0.05,17.87167191505432
43,primeiro,1000000,3,0.05,23.415056943893433
44,primeiro,1000000,4,0.05,18.299580335617065
45,primeiro,1000000,5,0.05,20.62662363052368
46,primeiro,1000000,6,0.05,20.141033411026
47,primeiro,1000000,7,0.05,29.120705604553223
48,primeiro,1000000,8,0.05,21.764065980911255
49,primeiro,1000000,9,0.05,21.863739013671875
50,centro,100,0,0.05,0.0
51,centro,100,1,0.05,0.0
52,centro,100,2,0.05,0.0
53,centro,100,3,0.05,0.0009970664978027344
54,centro,100,4,0.05,0.0
55,centro,100,5,0.05,0.0
56,centro,100,6,0.05,0.0
57,centro,100,7,0.05,0.0
58,centro,100,8,0.05,0.0
59,centro,100,9,0.05,0.001001119613647461
60,centro,1000,0,0.05,0.002996206283569336
61,centro,1000,1,0.05,0.0030002593994140625
62,centro,1000,2,0.05,0.002000093460083008
63,centro,1000,3,0.05,0.003000497817993164
64,centro,1000,4,0.05,0.002999544143676758
65,centro,1000,5,0.05,0.002000093460083008
66,centro,1000,6,0.05,0.003002643585205078
67,centro,1000,7,0.05,0.002998828887939453
68,centro,1000,8,0.05,0.0029981136322021484
69,centro,1000,9,0.05,0.0020003318786621094
70,centro,10000,0,0.05,0.033994436264038086
71,centro,10000,1,0.05,0.03000497817993164
72,centro,10000,2,0.05,0.034998416900634766
73,centro,10000,3,0.05,0.028995990753173828
74,centro,10000,4,0.05,0.040008544921875
75,centro,10000,5,0.05,0.03399062156677246
76,centro,10000,6,0.05,0.02700209617614746
77,centro,10000,7,0.05,0.024982929229736328
78,centro,10000,8,0.05,0.02701854705810547
79,centro,10000,9,0.05,0.0249941349029541
80,centro,100000,0,0.05,0.3299853801727295
81,centro,100000,1,0.05,0.3240025043487549
82,centro,100000,2,0.05,0.35199546813964844
83,centro,100000,3,0.05,0.33100032806396484
84,centro,100000,4,0.05,0.3189990520477295
85,centro,100000,5,0.05,0.33001089096069336
86,centro,100000,6,0.05,0.3450002670288086
87,centro,100000,7,0.05,0.34599971771240234
88,centro,100000,8,0.05,0.3520073890686035
89,centro,100000,9,0.05,0.37599825859069824
90,centro,1000000,0,0.05,3.985015392303467
91,centro,1000000,1,0.05,3.887993812561035
92,centro,1000000,2,0.05,3.9630188941955566
93,centro,1000000,3,0.05,4.091995000839233
94,centro,1000000,4,0.05,4.2855682373046875
95,centro,1000000,5,0.05,4.551001787185669
96,centro,1000000,6,0.05,4.522999048233032
97,centro,1000000,7,0.05,4.398586750030518
98,centro,1000000,8,0.05,4.760964870452881
99,centro,1000000,9,0.05,4.385374069213867
100,media3,100,0,0.05,0.0
101,media3,100,1,0.05,0.0
102,media3,100,2,0.05,0.0
103,media3,100,3,0.05,0.0
104,media3,100,4,0.05,0.0
105,media3,100,5,0.05,0.0
106,media3,100,6,0.05,0.0
107,media3,100,7,0.05,0.0
108,media3,100,8,0.05,0.00099945068359375
109,media3,100,9,0.05,0.0
110,media3,1000,0,0.05,0.003002166748046875
111,media3,1000,1,0.05,0.003002643585205078
112,media3,1000,2,0.05,0.003998756408691406
113,media3,1000,3,0.05,0.003000497817993164
114,media3,1000,4,0.05,0.0029985904693603516
115,media3,1000,5,0.05,0.0030014514923095703
116,media3,1000,6,0.05,0.0030012130737304688
117,media3,1000,7,0.05,0.0030028820037841797
118,media3,1000,8,0.05,0.0029964447021484375
119,media3,1000,9,0.05,0.001999378204345703
120,media3,10000,0,0.05,0.04399824142456055
121,media3,10000,1,0.05,0.029000043869018555
122,media3,10000,2,0.05,0.04199957847595215
123,media3,10000,3,0.05,0.05800056457519531
124,media3,10000,4,0.05,0.03600001335144043
125,media3,10000,5,0.05,0.03799939155578613
126,media3,10000,6,0.05,0.027996540069580078
127,media3,10000,7,0.05,0.03301572799682617
128,media3,10000,8,0.05,0.027982711791992188
129,media3,10000,9,0.05,0.0279996395111084
130,media3,100000,0,0.05,0.36699891090393066
131,media3,100000,1,0.05,0.48804306983947754
132,media3,100000,2,0.05,0.48224592208862305
133,media3,100000,3,0.05,0.36498069763183594
134,media3,100000,4,0.05,0.4140002727508545
135,media3,100000,5,0.05,0.5510025024414062
136,media3,100000,6,0.05,0.4889950752258301
137,media3,100000,7,0.05,0.4629993438720703
138,media3,100000,8,0.05,0.4268679618835449
139,media3,100000,9,0.05,0.35799407958984375
140,media3,1000000,0,0.05,5.028112173080444
141,media3,1000000,1,0.05,4.935083389282227
142,media3,1000000,2,0.05,4.761012554168701
143,media3,1000000,3,0.05,4.561078310012817
144,media3,1000000,4,0.05,4.771033763885498
145,media3,1000000,5,0.05,4.254012823104858
146,media3,1000000,6,0.05,4.412022352218628
147,media3,1000000,7,0.05,5.407143592834473
148,media3,1000000,8,0.05,4.293015241622925
149,media3,1000000,9,0.05,4.700005769729614
150,random,100,0,0.05,0.006998777389526367
151,random,100,1,0.05,0.0
152,random,100,2,0.05,0.0
153,random,100,3,0.05,0.0009968280792236328
154,random,100,4,0.05,0.0
155,random,100,5,0.05,0.0009996891021728516
156,random,100,6,0.05,0.0
157,random,100,7,0.05,0.001001119613647461
158,random,100,8,0.05,0.0
159,random,100,9,0.05,0.0
160,random,1000,0,0.05,0.005000591278076172
161,random,1000,1,0.05,0.003998994827270508
162,random,1000,2,0.05,0.005003690719604492
163,random,1000,3,0.05,0.005004167556762695
164,random,1000,4,0.05,0.0050008296966552734
165,random,1000,5,0.05,0.004000663757324219
166,random,1000,6,0.05,0.00599980354309082
167,random,1000,7,0.05,0.004999399185180664
168,random,1000,8,0.05,0.006999492645263672
169,random,1000,9,0.05,0.005018949508666992
170,random,10000,0,0.05,0.07500505447387695
171,random,10000,1,0.05,0.06697845458984375
172,random,10000,2,0.05,0.06300044059753418
173,random,10000,3,0.05,0.0559995174407959
174,random,10000,4,0.05,0.07200026512145996
175,random,10000,5,0.05,0.06599831581115723
176,random,10000,6,0.05,0.0579986572265625
177,random,10000,7,0.05,0.06400156021118164
178,random,10000,8,0.05,0.06299924850463867
179,random,10000,9,0.05,0.07400083541870117
180,random,100000,0,0.05,0.879000186920166
181,random,100000,1,0.05,0.8790369033813477
182,random,100000,2,0.05,0.9750003814697266
183,random,100000,3,0.05,0.6459994316101074
184,random,100000,4,0.05,0.6960048675537109
185,random,100000,5,0.05,0.6360187530517578
186,random,100000,6,0.05,0.6230168342590332
187,random,100000,7,0.05,0.6059780120849609
188,random,100000,8,0.05,0.6270043849945068
