,pivot,size,it,disorder,exec_time
0,mediana,100,0,0.05,0.0
1,mediana,100,1,0.05,0.0
2,mediana,100,2,0.05,0.0
3,mediana,100,3,0.05,0.0009953975677490234
4,mediana,100,4,0.05,0.0
5,mediana,100,5,0.05,0.0
6,mediana,100,6,0.05,0.0
7,mediana,100,7,0.05,0.0009982585906982422
8,mediana,100,8,0.05,0.0
9,mediana,100,9,0.05,0.0
10,mediana,1000,0,0.05,0.002002716064453125
11,mediana,1000,1,0.05,0.0020024776458740234
12,mediana,1000,2,0.05,0.002995014190673828
13,mediana,1000,3,0.05,0.002001523971557617
14,mediana,1000,4,0.05,0.0020160675048828125
15,mediana,1000,5,0.05,0.003006458282470703
16,mediana,1000,6,0.05,0.00400090217590332
17,mediana,1000,7,0.05,0.001993894577026367
18,mediana,1000,8,0.05,0.001979827880859375
19,mediana,1000,9,0.05,0.003023386001586914
20,mediana,10000,0,0.05,0.03600311279296875
21,mediana,10000,1,0.05,0.039998531341552734
22,mediana,10000,2,0.05,0.03300023078918457
23,mediana,10000,3,0.05,0.04200577735900879
24,mediana,10000,4,0.05,0.03299117088317871
25,mediana,10000,5,0.05,0.03386092185974121
26,mediana,10000,6,0.05,0.04100370407104492
27,mediana,10000,7,0.05,0.028991222381591797
28,mediana,10000,8,0.05,0.03500056266784668
29,mediana,10000,9,0.05,0.031009435653686523
30,mediana,100000,0,0.05,0.42598462104797363
31,mediana,100000,1,0.05,0.475999116897583
32,mediana,100000,2,0.05,0.39502477645874023
33,mediana,100000,3,0.05,0.3989994525909424
34,mediana,100000,4,0.05,0.384979248046875
35,mediana,100000,5,0.05,0.4389986991882324
36,mediana,100000,6,0.05,0.4290015697479248
37,mediana,100000,7,0.05,0.551994800567627
38,mediana,100000,8,0.05,0.423997163772583
39,mediana,100000,9,0.05,0.4289977550506592
40,mediana,1000000,0,0.05,5.354717016220093
41,mediana,1000000,1,0.05,5.298066139221191
42,mediana,1000000,2,0.05,6.0364038944244385
