,pivot,size,it,disorder,exec_time
0,primeiro,100,0,0.05,0.0009958744049072
1,primeiro,100,1,0.05,0.001000165939331
2,primeiro,100,2,0.05,0.0
3,primeiro,100,3,0.05,0.0
4,primeiro,100,4,0.05,0.0009982585906982
5,primeiro,100,5,0.05,0.0010018348693847
6,primeiro,100,6,0.05,0.0010020732879638
7,primeiro,100,7,0.05,0.0
8,primeiro,100,8,0.05,0.00099778175354
9,primeiro,100,9,0.05,0.0020046234130859
10,primeiro,1000,0,0.05,0.0099952220916748
11,primeiro,1000,1,0.05,0.0120015144348144
12,primeiro,1000,2,0.05,0.0169997215270996
13,primeiro,1000,3,0.05,0.0099983215332031
14,primeiro,1000,4,0.05,0.0120022296905517
15,primeiro,1000,5,0.05,0.010995864868164
16,primeiro,1000,6,0.05,0.0170025825500488
17,primeiro,1000,7,0.05,0.0089993476867675
18,primeiro,1000,8,0.05,0.0110042095184326
19,primeiro,1000,9,0.05,0.0079998970031738
20,primeiro,10000,0,0.05,0.2400045394897461
21,primeiro,10000,1,0.05,0.154001235961914
22,primeiro,10000,2,0.05,0.2539992332458496
23,primeiro,10000,3,0.05,0.1289992332458496
24,primeiro,10000,4,0.05,0.1520020961761474
25,primeiro,10000,5,0.05,0.1559996604919433
26,primeiro,10000,6,0.05,0.1609961986541748
27,primeiro,10000,7,0.05,0.127997875213623
28,primeiro,10000,8,0.05,0.1750013828277588
29,primeiro,10000,9,0.05,0.1309988498687744
30,primeiro,100000,0,0.05,2.0779995918273926
31,primeiro,100000,1,0.05,1.9599969387054443
32,primeiro,100000,2,0.05,3.590014696121216
33,primeiro,100000,3,0.05,1.9320034980773928
34,primeiro,100000,4,0.05,1.682995080947876
35,primeiro,100000,5,0.05,2.236994981765747
36,primeiro,100000,6,0.05,1.7550008296966553
37,primeiro,100000,7,0.05,1.3899993896484375
38,primeiro,100000,8,0.05,2.0929999351501465
39,primeiro,100000,9,0.05,1.6900005340576172
40,primeiro,1000000,0,0.05,21.32504749298096
41,primeiro,1000000,1,0.05,18.078494548797607
42,primeiro,1000000,2,0.05,19.114017963409424
43,primeiro,1000000,3,0.05,24.93151450157165
44,primeiro,1000000,4,0.05,17.53079128265381
45,primeiro,1000000,5,0.05,29.677059173583984
