,pivot,size,it,disorder,exec_time
0,primeiro,100,0,0.05,0.0009989738464355469
1,primeiro,1000,0,0.05,0.003999471664428711
2,primeiro,10000,0,0.05,0.056998252868652344
3,primeiro,100000,0,0.05,0.8179969787597656
4,primeiro,1000000,0,0.05,9.553000211715698
5,ultimo,100,0,0.05,0.0
6,ultimo,1000,0,0.05,0.006002187728881836
7,ultimo,10000,0,0.05,0.04600167274475098
8,ultimo,100000,0,0.05,0.6759998798370361
9,ultimo,1000000,0,0.05,17.193772315979004
10,centro,100,0,0.05,0.0009961128234863281
11,centro,1000,0,0.05,0.0025179386138916016
12,centro,10000,0,0.05,0.04381227493286133
13,centro,100000,0,0.05,0.300739049911499
14,centro,1000000,0,0.05,3.9081218242645264
15,media3,100,0,0.05,0.0009987354278564453
16,media3,1000,0,0.05,0.003512859344482422
17,media3,10000,0,0.05,0.030128002166748047
18,media3,100000,0,0.05,0.471435546875
19,media3,1000000,0,0.05,4.780273914337158
20,random,100,0,0.05,0.005522251129150391
21,random,1000,0,0.05,0.003989696502685547
22,random,10000,0,0.05,0.04816293716430664
23,random,100000,0,0.05,0.7968001365661621
